First Kiss,1065052
路小雨,1065153
Secret  慢板,1065239
小雨写立可白Ⅰ,1065282
小雨写立可白Ⅱ,1065291
琴房,1065331
Ending,1065352
星晴+回到过去+最后的战役+爱我别走,1116339
飘移,1191811
黑色幽默,1289895
困兽之斗,1289972
双截棍,1420692
Opening+双截棍 (变奏版),2133514
上海一九四三,2133515
安静,2133520
开不了口,2133522
忍者,2133524
找自己,2133526
斗牛,2133528
最后的战役,2133534
简单爱,2133540
黑色幽默,2133542
龙卷风,2133544
巴黎恋人,3451334
嘻哈空姐,5453548
黑色幽默,5453550
免费教学录影带,5453557
爸 我回来了＋心事谁人知,5453559
雨下一整晚,5453560
爱的飞行日记,5453561
开不了口,5453563
双截棍,5453565
天地一斗,5948086
麦烝玮,5948109
跨时代,6178248
魔术先生,6178300
惊叹号,11269835
黑色幽默,15846622
可爱女人,15846650
最后的战役,15846656
飘移 (头文字D 电影插曲),15846663
外婆,15846678
娘子,17785728
上海一九四三,17777742
你比从前快乐,17755943
退后,18383554
开不了口,18925705
夜曲,19074804
屋顶,23212676
简单爱,23442880
以父之名,24545999
双刀,24546075
分裂,28180238
简单爱,34543940
打架舞,48304975
黑色幽默,51979880
可爱女人,51980091
飘移,51980112
忍者,51980172
最后的战役,51980201
外婆,51980235
大明星,64512614
怎么了,127388334
只有为你+安静+不管有多苦+满+我要夏天,267780518
准备中,268260366
天才之翼,268260383
孤单,268260406
美丽的消失,268260925
过场,268260930
热闹的宁静,268260965
归途,268260975
这所有的一切,268261009
很对不起,268262062
恒星,271695192
告白气球 (Live),272778073
算什么男人 (Live),272778842
画沙,274459663
最后的战役 (Live),540501864
惊叹号 (Live),540503000
天台 (Live),540503134
快门慢舞 (Live),540503515
哪里都是你 (Live),540503666
一路向北 (Live),540503809
不能说的秘密 (Live),540503860
明明就 (Live),540503894
Mine Mine (Live),540503946
龙卷风 (Live),540504003
公公偏头痛 (Live),540504058
龙拳 (Live),540493418
打架舞 (Live),540493423
双截棍 (Live),540493430
斗牛 + 水手怕水 + 大笨钟 (Live),540493437
彩虹 + 轨迹 (Live),540493438
手语 (Live),540493439
开不了口 (Live),540493441
乌克丽丽 (Live),540493442
TRY (功夫熊猫3全球主题曲),551132272
